No.,Longitude,Latitude,TIME,Serving PCI,Serving RSRP,Serving DL EARFCN,PCC SINR,PDCP Throughput DL,PDCP Throughput UL,0st PCI in Detected Cells,1st PCI in Detected Cells,2st PCI in Detected Cells,3st PCI in Detected Cells,4st PCI in Detected Cells,5st PCI in Detected Cells,0st RSRP in Detected Cells,1st RSRP in Detected Cells,2st RSRP in Detected Cells,3st RSRP in Detected Cells,4st RSRP in Detected Cells,5st RSRP in Detected Cells,0st EARFCN in Detected Cells,1st EARFCN in Detected Cells,2st EARFCN in Detected Cells,3st EARFCN in Detected Cells,4st EARFCN in Detected Cells,5st EARFCN in Detected Cells
101,116.417679,39.830124,2017-07-21 10:04:33.250,139,-94.5,37900,16.2,0.319,0.074,74,,,,,,-98.75,,,,,,37900,,,,,
102,116.417679,39.830124,2017-07-21 10:04:33.661,139,-95.625,37900,10.5,0.319,0.004,74,,,,,,-94.937,,,,,,37900,,,,,
103,116.417679,39.830124,2017-07-21 10:04:34.038,139,-94.75,37900,7.5,0.319,0.004,74,,,,,,-95.437,,,,,,37900,,,,,
104,116.417694,39.830128,2017-07-21 10:04:34.393,139,-95.5,37900,11.6,0.319,0.004,74,,,,,,-94.625,,,,,,37900,,,,,
105,116.417694,39.830128,2017-07-21 10:04:34.793,139,-90.437,37900,18.5,0.003,0,74,138,301,,,,-100.187,-100.187,-103.5,,,,38098,38098,38098,,,
106,116.417694,39.830128,2017-07-21 10:04:35.164,139,-94,37900,14.899,0.003,0,74,,,,,,-92.625,,,,,,37900,,,,,
107,116.417679,39.830135,2017-07-21 10:04:35.598,139,-90.062,37900,2.6,0.003,0,74,,,,,,-93.062,,,,,,37900,,,,,
108,116.417679,39.830135,2017-07-21 10:04:36.007,139,-90.437,37900,13.6,0.321,0.021,74,,,,,,-94.562,,,,,,37900,,,,,
109,116.417679,39.830135,2017-07-21 10:04:36.215,139,-88.25,37900,16.2,0.321,0.021,74,,,,,,-92,,,,,,37900,,,,,
110,116.417679,39.830139,2017-07-21 10:04:36.423,139,-88.25,37900,16.2,0.321,0.021,74,,,,,,-91.687,,,,,,37900,,,,,
111,116.417679,39.830139,2017-07-21 10:04:36.917,139,-88.375,37900,18.6,0.343,0.021,74,,,,,,-90.687,,,,,,37900,,,,,
112,116.417679,39.830139,2017-07-21 10:04:36.921,139,-88.375,37900,18.6,0.343,0.021,74,,,,,,-91.312,,,,,,37900,,,,,
113,116.417679,39.830139,2017-07-21 10:04:37.351,139,-90.75,37900,12.7,0.343,0.021,74,,,,,,-91.5,,,,,,37900,,,,,
114,116.417679,39.830139,2017-07-21 10:04:37.782,139,-91.812,37900,13,0,0.024,182,141,,,,,-107.562,-111.812,,,,,40936,40936,,,,
115,116.417679,39.830139,2017-07-21 10:04:38.195,139,-91,37900,13.2,0,0.024,74,,,,,,-90.687,,,,,,37900,,,,,
116,116.417679,39.830139,2017-07-21 10:04:38.661,139,-91.687,37900,4.5,0,0.024,74,,,,,,-91.25,,,,,,37900,,,,,
117,116.417679,39.830139,2017-07-21 10:04:39.029,139,-88.687,37900,19,0,0.024,74,,,,,,-93.5,,,,,,37900,,,,,
118,116.417679,39.830139,2017-07-21 10:04:39.402,139,-88.687,37900,19,0,0.024,74,,,,,,-92.062,,,,,,37900,,,,,
119,116.417679,39.830139,2017-07-21 10:04:39.758,139,-90.562,37900,14.3,0.048,0.007,74,,,,,,-92.312,,,,,,37900,,,,,
120,116.417679,39.830139,2017-07-21 10:04:40.112,139,-93.25,37900,16.4,0.048,0.007,74,,,,,,-94.812,,,,,,37900,,,,,
121,116.417679,39.830139,2017-07-21 10:04:40.513,139,-88.875,37900,20.7,0.048,0.007,74,,,,,,-93.437,,,,,,37900,,,,,
122,116.417679,39.830139,2017-07-21 10:04:40.519,139,-88.875,37900,20.7,0.048,0.007,74,,,,,,-94.937,,,,,,37900,,,,,
123,116.417679,39.830139,2017-07-21 10:04:41.010,139,-90.437,37900,17.5,7.663,0.435,74,,,,,,-92.187,,,,,,37900,,,,,
124,116.417656,39.830143,2017-07-21 10:04:41.438,139,-91.687,37900,12,7.663,0.435,74,,,,,,-93,,,,,,37900,,,,,
125,116.417656,39.830143,2017-07-21 10:04:41.440,139,-92.5,37900,13.2,7.663,0.435,74,,,,,,-93.625,,,,,,37900,,,,,
126,116.417656,39.830143,2017-07-21 10:04:41.879,139,-91.312,37900,16.9,7.663,0.435,74,,,,,,-95.437,,,,,,37900,,,,,
127,116.417656,39.8301469,2017-07-21 10:04:42.362,139,-93.312,37900,17.8,7.663,0.435,74,,,,,,-95.562,,,,,,37900,,,,,
128,116.417656,39.8301469,2017-07-21 10:04:42.584,139,-92.312,37900,13.8,7.663,0.435,74,138,,,,,-93.125,-98.687,,,,,38098,38098,,,,
129,116.417656,39.8301469,2017-07-21 10:04:42.790,139,-89.687,37900,22.4,7.663,0.435,74,,,,,,-95.687,,,,,,37900,,,,,
130,116.417656,39.8301469,2017-07-21 10:04:43.209,139,-91.375,37900,13.2,7.663,0.435,74,,,,,,-95.187,,,,,,37900,,,,,
131,116.417656,39.8301469,2017-07-21 10:04:43.647,139,-91.625,37900,15.3,0.085,0.009,74,,,,,,-93.687,,,,,,37900,,,,,
